Longevity data downloaded from FMP by Suheeta Roy on 3 Feb 2023,,,,,,,,,,,,
Aging BXD colony @ UTHSC on two diets- chow and high fat,,,,,,,,,,,,
Animals with age at death >200 days are considered for longevity analysis,,,,,,,,,,,,
,,,,,,,,,,,,
Index,EarTagNumberCurrent,EarTagNumberOriginal,StrainName,Sex,Diet,AgeAtDeath (days),CauseOfDeath,DateOfBirth,DateDietStart,DateOfDeath,AgeAtSettingUp (days),
142,1051,1051,BXD34,F,CD,480,Natural,4/20/13,8/8/13,8/13/14,110,
143,2792,2792,BXD31,F,CD,481,Natural,3/21/18,6/14/18,7/15/19,85,
144,4529,4529,BXD2,F,CD,483,Euthanized,7/5/21,11/10/21,10/31/22,128,
145,40,40,BXD85,F,CD,485,Natural,9/23/10,10/25/11,1/21/12,397,
146,282,282,BXD56,F,CD,486,Natural,10/2/11,2/13/12,1/30/13,134,
147,849,849,BXD53,F,CD,488,Natural,10/9/11,7/20/12,2/8/13,285,
148,293,293,BXD39,F,CD,489,Natural,9/10/11,2/13/12,1/11/13,156,
149,799,799,BXD101,F,CD,489,Natural,12/30/11,7/20/12,5/2/13,203,
150,350,350,BXD98,F,CD,490,Natural,10/24/11,2/13/12,2/25/13,112,
151,2504,2504,DBA/2J,F,CD,490,Natural,8/13/15,1/14/16,12/15/16,154,
152,2855,2855,BXD5,F,CD,491,Euthanized,6/11/18,7/23/18,10/15/19,42,
153,2821,2821,BXD11,F,CD,492,Euthanized,4/25/18,7/12/18,8/30/19,78,
154,2600,2600,BXD170,F,CD,492,Natural,7/8/16,8/11/16,11/12/17,34,
155,2807,2807,BXD191,F,CD,496,Euthanized,3/21/18,7/6/18,7/30/19,107,
156,2343,2343,BXD186,F,CD,497,Euthanized,7/15/15,11/3/15,11/23/16,111,
157,2617,2617,BXD161,F,CD,498,Natural,7/27/16,9/13/16,12/7/17,48,
158,2900,2900,DBA/2J,F,CD,499,Natural,10/25/18,3/14/19,3/7/20,140,
159,2420,2420,BXD16,F,CD,500,Natural,8/13/15,11/6/15,12/25/16,85,
160,2620,2620,BXD168,F,CD,500,Natural,7/25/16,9/13/16,12/7/17,50,
161,711,711,BXD48a,F,CD,501,Natural,3/9/12,7/20/12,7/23/13,133,
162,2563,2563,BXD19,F,CD,503,Euthanized,1/10/16,2/12/16,5/27/17,33,
163,2510,2510,BXD16,F,CD,503,Natural,10/30/15,1/14/16,3/16/17,76,
164,4839,4839,BXD68,F,CD,503,Natural,3/4/21,3/25/22,7/20/22,386,
165,2922,2922,DBA/2J,F,CD,504,Euthanized,10/25/18,3/14/19,3/12/20,140,
166,2899,2899,DBA/2J,F,CD,506,Euthanized,1/28/19,4/10/19,6/17/20,72,
167,904,904,BXD98,F,CD,507,Natural,3/21/12,7/20/12,8/10/13,121,
